"Haul","CL","nA","sfA","nB","sfB","qA","qB"
"D6H3",19,3,11.7820388651874,9,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",20,2,11.7820388651874,8,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",21,1,11.7820388651874,5,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",22,0,11.7820388651874,1,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",23,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",24,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H3",25,0,11.7820388651874,0,7.57860524708999,0.0848749534305749,0.13195040081867
"D6H5",5,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",6,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",7,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",8,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",9,2,14.9502169390914,3,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",10,9,14.9502169390914,4,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",11,6,14.9502169390914,10,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",12,26,14.9502169390914,11,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",13,37,14.9502169390914,22,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",14,50,14.9502169390914,32,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",15,34,14.9502169390914,39,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",16,26,14.9502169390914,39,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",17,19,14.9502169390914,27,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",18,16,14.9502169390914,11,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",19,3,14.9502169390914,4,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",20,3,14.9502169390914,1,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",21,1,14.9502169390914,1,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",22,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",23,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",24,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
"D6H5",25,0,14.9502169390914,0,11.3183420397351,0.0668886614872612,0.0883521629306939
